artist,name,date,time,currency,min_price,max_price,venue_name,venue_city,venue_state
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-29,19:00:00,USD,30.5,220.5,Madison Square Garden,New York,New York
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-23,19:00:00,USD,30.5,199.5,Nationwide Arena,Columbus,Ohio
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-13,19:00:00,USD,25.5,220.5,United Center,Chicago,Illinois
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-03,19:00:00,USD,30.5,220.5,TD Garden,Boston,Massachusetts
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-17,19:00:00,USD,30.5,183.0,Chaifetz Arena,Saint Louis,Missouri
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-09,19:00:00,USD,30.5,199.5,Chase Center,San Francisco,California
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-30,19:00:00,USD,30.5,220.5,Barclays Center,Brooklyn,New York
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-26,19:00:00,USD,25.5,194.5,Little Caesars Arena,Detroit,Michigan
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-08,19:00:00,USD,30.5,199.5,Wells Fargo Center,Philadelphia,Pennsylvania
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-19,19:00:00,USD,30.5,199.5,Lenovo Center,Raleigh,North Carolina
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-24,19:00:00,USD,30.5,199.5,Kia Center,Orlando,Florida
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-16,19:00:00,USD,30.5,199.0,Bridgestone Arena,Nashville,Tennessee
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-30,19:00:00,USD,30.5,199.5,American Airlines Center,Dallas,Texas
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-25,19:00:00,USD,30.5,178.75,Amalie Arena,Tampa,Florida
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-17,19:00:00,USD,30.5,220.5,Kia Forum,Inglewood,California
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-05,19:00:00,USD,30.5,199.5,CFG Bank Arena,Baltimore,Maryland
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-22,19:00:00,USD,33.5,174.0,State Farm Arena,Atlanta,Georgia
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-28,19:00:00,USD,30.5,199.5,Moody Center ATX,Austin,Texas
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-06,19:00:00,USD,30.5,199.5,Climate Pledge Arena,Seattle,Washington
